Sr. No.,Mpp/Mcc Name,Milk Qty,Latitude,Longitude,Milk Dispatched Locations
186,Paradsinga,329.3838709677419,21.320421,78.516705,Mcc Dhanoli
187,Parsodi,1109.961935483871,21.228122,78.551002,Mcc Dhanoli
188,Jatlapur,98.46096774193548,21.093717,78.638058,Mcc Dhanoli
189,Gondimohgaon,248.44999999999996,21.362626,78.706336,Mcc Dhanoli
190,Tishti Bk,116.78548387096772,21.3738,78.752313,Mcc Dhanoli
191,Lohagad,291.71,21.342479,78.723073,Mcc Dhanoli
192,Gangaldoh,95.67806451612903,21.304689,78.665309,Mcc Dhanoli
193,Lakholi,1058.2477419354839,21.280167,78.691333,Mcc Dhanoli
194,Ajangon,453.8367741935484,21.26452,78.687072,Mcc Dhanoli
195,Kondhasawali,33.79709677419355,21.227105,78.665763,Mcc Dhanoli
196,Mannth,44.54129032258064,21.432421,78.638633,Mcc Dhanoli
197,Khedi,208.44645161290322,21.448166,78.670189,Mcc Dhanoli
198,Mhasora,88.10096774193548,21.422237,78.634732,Mcc Dhanoli
199,Banor Pithori,70.012,21.452866,78.588618,Mcc Dhanoli
200,Mogra,200.411935483871,21.441346,78.573076,Mcc Dhanoli
201,Yenikoni,209.84354838709677,21.437541,78.584715,Mcc Dhanoli
202,Ambola,66.40032258064515,21.410735,78.580538,Mcc Dhanoli
203,Mukani,87.10161290322581,21.363876,78.595011,Mcc Dhanoli
204,Khamli,189.11806451612904,21.364625,78.597842,Mcc Dhanoli
205,Gondi Digras,124.58290322580645,21.375754,78.596538,Mcc Dhanoli
206,Wiwara,53.70838709677419,21.348467,78.480345,Mcc Dhanoli
207,Parsodi Dixit,117.35258064516128,21.376203,78.467339,Mcc Dhanoli
208,Tinkheda,411.7161290322581,21.403462,78.492512,Mcc Dhanoli
209,Bhisnur,488.32580645161283,21.356614,78.508494,Mcc Dhanoli
210,Thaturwada,108.53322580645161,21.343887,78.5145,Mcc Dhanoli
211,Naigaon,303.7112903225806,21.350467,78.498748,Mcc Dhanoli
